Nazwisko,Kraj,Złote Medale,Srebrne Medale,Brązowe Medale
Valentin Mankin,Soviet Union,3,1,0
Valerie Brisco-Hooks,United States,3,1,0
Sharon Stouder,United States,3,1,0
Steven Lewis,United States,3,1,0
Susan von Saltza,United States,3,1,0
Mark Kirchner,Germany,3,1,0
Meyer Prinstein,United States,3,1,0
Michael Heath,United States,3,1,0
Park Sung-Hyun,South Korea,3,1,0
Olga Bryzgina,Commonwealth of Independent States,3,1,0
Natasa Janics,Hungary,3,1,0
Nancy Hogshead,United States,3,1,0
Romeo Neri,Italy,3,1,0
Rie Mastenbroek,Netherlands,3,1,0
Marja-Lisa Kirvesniemi,Finland,3,0,4
Rüdiger Helm,East Germany,3,0,3
Angel Martino,United States,3,0,3
Dennis Fenton,United States,3,0,2
Jens Fiedler,Germany,3,0,2
Katja Seizinger,Germany,3,0,2
Henry Taylor,Great Britain,3,0,2
Tibor Berczelly,Hungary,3,0,2
Marc Gagnon,Canada,3,0,2
Paavo Aaltonen,Finland,3,0,2
Nina Gavriljuk,Russia,3,0,1
Reginald Frank Doherty,Great Britain,3,0,1
Pyrros Dimas,Greece,3,0,1
Martin Sheridan,United States,3,0,1
Michelle Smith,Ireland,3,0,1
Lyudmila Pinaeva,Soviet Union,3,0,1
Ugo Frigerio,Italy,3,0,1
Wilma Rudolph,United States,3,0,1
Jim Montgomery,United States,3,0,1
Dmitri Bilozerchev,Soviet Union,3,0,1
Conrad Stäheli,Switzerland,3,0,1
Endre Kabos,Hungary,3,0,1
Ahn Hyun-Soo,South Korea,3,0,1
Adolph Van der Voort van Zijp,Netherlands,3,0,0
Alberto Braglia,Italy,3,0,0
Aleksandr Medved,Soviet Union,3,0,0
Angelo Taylor,United States,3,0,0
Bobby Joe Morrow,United States,3,0,0
Carl Westergren,Sweden,3,0,0
Buvaysa Saytiev,Russia,3,0,0
Brooke Bennett,United States,3,0,0
Archie Hahn,United States,3,0,0
Anton Sailer,Austria,3,0,0
Barbara Krause,East Germany,3,0,0
Eric Lemming,Sweden,3,0,0
Felicia Ballanger,France,3,0,0
Felix Savon,Cuba,3,0,0
Ethelda Bleibtrey,United States,3,0,0
Edmond van Moer,Belgium,3,0,0
Edmond Cloetens,Belgium,3,0,0
Clarence Houser,United States,3,0,0
Carrie Steinseifer,United States,3,0,0
Catalina Ponor,Romania,3,0,0
Debbie Meyer,United States,3,0,0
Csaba Fenyvesi,Hungary,3,0,0
Jin Sun-Yu,South Korea,3,0,0
Jodie Henry,Australia,3,0,0
Evgeni Sadovyi,Commonwealth of Independent States,3,0,0
Jean-Claude Killy,France,3,0,0
Jean Buhan,France,3,0,0
Ivar Johansson,Sweden,3,0,0
Karl Frederick,United States,3,0,0
Karl Schuhmann,Germany,3,0,0
John Kelly sr.,United States,3,0,0
José Luis Doreste,Spain,3,0,0
Hjalmar Andersen,Norway,3,0,0
Helene Madison,United States,3,0,0
Halil Mutlu,Turkey,3,0,0
Glenn Davis,United States,3,0,0
Gail Devers,United States,3,0,0
Yvonne van Gennip,Netherlands,3,0,0
Viktor Zhdanovich,Soviet Union,3,0,0
Vladimir Parfenovich,Soviet Union,3,0,0
Vyacheslav Ivanov,Soviet Union,3,0,0
Zou Kai,China,3,0,0
Tracy Caulkins,United States,3,0,0
Ulrich Wehling,East Germany,3,0,0
Ulrike Richter,East Germany,3,0,0
Usain Bolt,Jamaica,3,0,0
Venus Williams,United States,3,0,0
Thorleif Haug,Norway,3,0,0
Teofilo Stevenson,Cuba,3,0,0
Tatiana Kazankina,Soviet Union,3,0,0
Tadahiro Nomura,Japan,3,0,0
Sandra Neilson,United States,3,0,0
Stephanie Rice,Australia,3,0,0
Sonja Henie,Norway,3,0,0
László Papp,Hungary,3,0,0
Klavdija Boyarskikh,Soviet Union,3,0,0
Ki-Hoon Kim,South Korea,3,0,0
Michael Greis,Germany,3,0,0
Mi-Jin Yun,South Korea,3,0,0
Michael Burton,United States,3,0,0
Melissa Belote,United States,3,0,0
Matilda Howell,United States,3,0,0
Matt Ryan,Australia,3,0,0
Martha Norelius,United States,3,0,0
Marianne Timmer,Netherlands,3,0,0
Marie-José Perec,France,3,0,0
Ma Lin,China,3,0,0
Peter Snell,New Zealand,3,0,0
Pertti Karppinen,Finland,3,0,0
Richard Meade,Great Britain,3,0,0
Rica Reinisch,East Germany,3,0,0
Rick Carey,United States,3,0,0
Robert Charpentier,France,3,0,0
Nicole Haislett,United States,3,0,0
Nahim Suleimanoglu,Turkey,3,0,0
Paul Masson,France,3,0,0
Norman Ross,United States,3,0,0
Mikhail Voronin,Soviet Union,2,6,1
Shirley Babashoff,United States,2,6,0
Mariya Gorokhovskaya,Soviet Union,2,5,0
Gustavo Marzi,Italy,2,5,0
Uschi Disl,Germany,2,4,3
Susan O'Neill,Australia,2,4,2
Eugen Mack,Switzerland,2,4,2
Amanda Beard,United States,2,4,1
Svetlana Khorkina,Russia,2,4,1
Zoltán Halmay,Hungary,2,4,1
Kirsty Coventry,Zimbabwe,2,4,1
John Michael Plumb,United States,2,4,0
Stefania Belmondo,Italy,2,3,5
Karin Janz,East Germany,2,3,2
Ildikó Ujlaky-Retjö,Hungary,2,3,2
Albert Helgerud,Norway,2,3,1
Burton Downing,United States,2,3,1
Shuji Tsurumi,Japan,2,3,1
Sergei Tchepikov,Russia,2,3,1
Tamara Manina,Soviet Union,2,3,1
Yifu Wang,China,2,3,1
Michael Klim,Australia,2,3,1
Rita Koban,Hungary,2,3,1
Pal Tyldum,Norway,2,3,0
Earl Thomson,United States,2,3,0
Harald Grönningen,Norway,2,3,0
Frank Luck,Germany,2,3,0
Irving Baxter,United States,2,3,0
Dmitri Sautin,Russia,2,2,4
Margit Korondi,Hungary,2,2,4
Sofiya Muratova,Soviet Union,2,2,4
Shanon Miller,United States,2,2,3
Manuela Di Centa,Italy,2,2,3
Pavel Lednev,Soviet Union,2,2,3
Phillipe Riboud,France,2,2,2
Robert Garrett,United States,2,2,2
Josef Neckermann,West Germany,2,2,2
